role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
MF,MF_C03,Progressive passes,8.04,8.38,-0.34000000000000163,-0.12138573549201329,1.0
MF,MF_C03,Passes forward to the final third,4.46,4.75,-0.29000000000000004,-0.159510027567464,1.0
MF,MF_C03,Final third entries,2.95,2.01,0.9400000000000004,0.7033045299235452,1.0
MF,MF_C03,Final third entries through pass,2.41,1.81,0.6000000000000001,0.5567834250964245,1.0
MF,MF_C03,Final third entries through carry,0.48,0.20500000000000002,0.27499999999999997,0.677830267461826,0.9560546875
MF,MF_C03,Key passes,0.29,0.34,-0.050000000000000044,-0.14094772134223824,0.943359375
MF,MF_C03,Passes for a shot,0.28,0.38,-0.09999999999999998,-0.3118878063103487,0.947265625
MF,MF_C03,Chances created,0.23,0.36,-0.12999999999999998,-0.3755158325693068,0.9306640625
MF,MF_C03,Open passes received,30.725,30.33,0.3950000000000031,0.03874350839256082,1.0
MF,MF_C03,Open passes received in the central third,19.83,19.07,0.759999999999998,0.11185334974618841,1.0
MF,MF_C03,Open passes received in the final third,4.21,5.555,-1.3449999999999998,-0.4208998992013726,1.0
MF,MF_C03,Interceptions,4.695,2.53,2.1650000000000005,1.5012645491372345,1.0
MF,MF_C03,Ball recoveries,4.6,3.83,0.7699999999999996,0.6976835184598136,1.0
MF,MF_C03,Defensive challenges,7.91,5.25,2.66,1.3041797789925702,1.0
MF,MF_C03,Lost balls,4.035,4.27,-0.23499999999999943,-0.17913750857761926,1.0
MF,MF_C04,Passes,42.56,40.754999999999995,1.8050000000000068,0.1634374959095137,1.0
MF,MF_C04,Short passes,11.46,10.47,0.9900000000000002,0.30158715618675913,1.0
MF,MF_C04,Progressive passes,8.92,8.38,0.5399999999999991,0.1927891093108434,1.0
MF,MF_C04,Passes forward to the final third,5.25,4.75,0.5,0.2750172889094206,1.0
MF,MF_C04,Final third entries,2.86,2.01,0.8500000000000001,0.6359668621649076,1.0
MF,MF_C04,Final third entries through pass,2.31,1.81,0.5,0.4639861875803537,1.0
MF,MF_C04,Final third entries through carry,0.61,0.20500000000000002,0.40499999999999997,0.9982591211710528,0.8664047151277013
